year,species_code,comp_type,ae,ae_al,al,base
1990,21720,total,134.765080734744,125.48012785914334,100.27188338648442,112.727847767518
1990,30060,total,122.69705599155138,121.0656276344572,160.7654363890783,166.22548114771521
1993,21720,total,171.15549664216599,166.88967551548075,143.59820754760503,154.17584119615015
1993,30060,total,203.65214188520918,198.45768245583153,220.98413124571744,236.37149761453884
1996,21720,total,48.81044082828545,47.36995872165195,44.30375391617523,46.50231268491761
1996,30060,total,137.24430311258092,129.55935582581063,105.23771297203533,112.37376573624842
1999,21720,total,217.0069573409477,209.80860839424005,167.37943011654033,198.34184575239146
1999,30060,total,101.5066466769637,98.9597813910709,113.06590389101132,119.47557043776925
2001,21720,total,152.2013931135143,141.94390513391915,122.06055812212166,134.94432198144446
2003,21720,total,224.5908593413621,208.7766790615322,201.4001214812298,234.57532710337557
2003,30060,total,227.06909092695017,220.0185361108871,245.3845316773534,262.76225579263956
2005,21720,total,83.51384199589964,79.60718163086732,83.72190058518305,96.03894042371083
2005,30060,total,246.89038338367396,240.8236009515945,262.06078138317446,286.62086133215246
2007,21720,total,51.37571795124272,46.761388378698065,47.10881252918744,52.279323570919594
2007,30060,total,303.19968334048843,300.8356921226547,280.64930569046726,305.66127935576804
2009,21720,total,22.411072708016786,22.21568681678555,20.26599252568788,20.576631436544364
2009,30060,total,74.71198930190839,69.62301236756595,85.04027292905575,98.51345854899992
2011,21720,total,88.67857116733961,84.17896926953625,128.74633665958063,137.55700725981245
2011,30060,total,149.8832564112498,148.35486654595385,165.05748489168263,177.09557501606028
2013,21720,total,81.27079044707459,78.73066526760263,76.97286321238435,79.5715851735522
2013,30060,total,275.9494767703609,267.28920324665165,239.14437886723363,261.09891898180035
2015,21720,total,82.81511854491599,86.41895241531257,136.57281878009746,156.52481068663297
2015,30060,total,163.28766210801814,159.8124390215137,220.6018044185822,237.28538659123222
2017,21720,total,67.86881938837199,62.90577705432793,84.30737840722942,103.16174651159079
2017,30060,total,264.8708084042756,258.923659226752,274.63747274438634,292.9324203043846
2019,21720,total,57.07205142022673,55.59593569927193,60.04640881259454,64.71198406001128
2019,30060,total,278.8534150554944,273.3706338425889,330.6929559095243,345.41289489909525
2021,21720,total,97.34454921958569,94.1657161128854,148.61340929444543,186.3322763945333
2021,30060,total,337.76264097943687,338.0571118554259,348.79146046085583,372.1758286917805
